Pt1	Int32	String	Text	StringEnum	Int32	StringEnum	String	String	Int32	String	Int32	Int32	Int32	String	Int32	Int32	Char
	No	Empresa	UEB/OC	Provincia	UEB Alimatic	Sist. Cont	Migración	Nómina	C	Real	Plan	ADSL	PAP	Aumento	Maq Env	PLC	S
	61	Lácteos Ciego de Ávila	Combinado Lacteo Morón	Ciego de Ávila	0	Sicema SQL		SQL	5				1	0			G
	59	PESCAPIR	Comespir	Sancti Spíritus	0	Siscomip	01/07/2017	SQL	5				1	0			G
	59	PESCAPIR	Acuiza	Sancti Spíritus	0	Siscomip	01/07/2017	SQL	5				1	0			G
	59	PESCAPIR	Indupir	Sancti Spíritus	0	Siscomip	01/07/2017	SQL	5				1	0			G
	56	Cárnica Sancti Spíritus	"Empacadora ""Roberto Quesada Ramirez"""	Sancti Spíritus	0	Sicema SQL		SQLA	5					0			G
	56	Cárnica Sancti Spíritus	Sacrificio de Cerdo	Sancti Spíritus	0	Sicema SQL		SQLA	5					0			G
	56	Cárnica Sancti Spíritus	Aseguramiento	Sancti Spíritus	0	Sicema SQL		SQLA	5					0			G
	57	Lácteos  Río Zaza	Oficina Central	Sancti Spíritus	0	Sicema SQL		SQLA	5	128		1		-128			G
	57	Lácteos  Río Zaza	Pasteurizadora Santi Spiritus	Sancti Spíritus	0	Sicema SQL		SQLA	5					0			G
	57	Lácteos  Río Zaza	Base de Transporte	Sancti Spíritus	0	Sicema SQL		SQLA	5					0			G
	57	Lácteos  Río Zaza	Fca de Quesos Mérida	Sancti Spíritus	0	Sicema SQl		SQLA	5					0			G
	58	EPISAN	Oficina Central	Sancti Spíritus	0	Siscomip	01/10/2017	SQL	5		128			128			G
	58	EPISAN	Induzaza	Sancti Spíritus	0	Siscomip	01/10/2017	SQL	5					0			G
	58	EPISAN	Pescazaza	Sancti Spíritus	0	Siscomip	01/10/2017	SQL	5					0			G
	58	EPISAN	Pescasilda	Sancti Spíritus	0	Siscomip	01/10/2017	SQL	5					0			G
	58	EPISAN	Tecnisan	Sancti Spíritus	0	Siscomip	01/10/2017	SQL	5					0			G
	58	EPISAN	Capacitación y desarrollo	Sancti Spíritus	0	Siscomip	01/10/2017	SQL	5					0			G
	58	EPISAN	Aseguramiento y servicio	Sancti Spíritus	0	Siscomip	01/10/2017	SQL	5					0			G
	58	EPISAN	Comercial, ventas y transporte	Sancti Spíritus	0	Siscomip	01/10/2017	SQL	5					0			G
	58	EPISAN	Unidad Organizativa Yaguajay	Sancti Spíritus	0	Siscomip	01/10/2017	SQL	5					0			G
	59	PESCAPIR	Oficina Central	Sancti Spíritus	0	Siscomip	01/07/2017	SQL	5	128	256	1		128			G
	56	Cárnica Sancti Spíritus	Combinado Cárnico	Sancti Spíritus	0	Sicema SQL		SQLA	5				1	0			G
	73	Lácteos Las Tunas	Oficina Central	Las Tunas	0	Sicema SQL		SQL	5	128		1		-128			G
	73	Lácteos Las Tunas	Fabrica de Helado Tunas	Las Tunas	0	Sicema SQL		SQL	5					0			G
	73	Lácteos Las Tunas	Puerto Padre	Las Tunas	0	Sicema SQL		SQL	5					0			G
	85	Cervecería Hatuey	Mantenimiento	Santiago de Cuba	0	Sicema SQL		SQL	5					0			G
	85	Cervecería Hatuey	Embotelladora Granma	Granma	0	Sicema SQL		SQLA	5					0			G
	85	Cervecería Hatuey	Embotelladora Guantánamo	Guantánamo	0	Sicema SQL	01/04/2017	SQLA	5					0			G
	86	Aceites Santiago de Cuba	No tiene	Santiago de Cuba	0	Sicema SQL		DESOFT	1	128		1		-128			G
	87	PDS	Oficina Central	Santiago de Cuba	0	Sicema SQL		DESOFT	1	512		1		-512			G
	87	PDS	Mantenimiento	Santiago de Cuba	0	Sicema SQL		DESOFT	1	512d				#VALUE!			G
	87	PDS	Aseguramiento	Santiago de Cuba	0	Sicema SQL		DESOFT	1	512d				#VALUE!			G
	85	Cervecería Hatuey	Transporte	Santiago de Cuba	0	Sicema SQL		SQL	5					0			G
	87	PDS	Planta de Producción	Santiago de Cuba	0	Sicema SQL		DESOFT	1	512d				#VALUE!			G
	88	PESCASAN	Acuicon	Santiago de Cuba	0	Siscomip	01/09/2017	SQL	5				1	0			G
	88	PESCASAN	Acuinor	Santiago de Cuba	0	Siscomip	01/09/2017	SQL	5				1	0			G
	88	PESCASAN	Palma-Santiago	Santiago de Cuba	0	Siscomip	01/09/2017	SQL	5				1	0			G
	88	PESCASAN	Caribe-Pescadería	Santiago de Cuba	0	Siscomip	01/09/2017	SQL	5				1	0			G
	88	PESCASAN	Punta Gorda	Santiago de Cuba	0	Siscomip	01/09/2017	SQL	5				1	0			G
	89	Cárnica Guantánamo	Oficina Central	Guantánamo	0	Sicema SQL		SQL	5	128		1		-128			G
	89	Cárnica Guantánamo	Reinaldo Broks Bravo	Guantánamo	0	Sicema	01/07/2017	SQL	5					0			G
	88	PESCASAN	Oficina Central	Santiago de Cuba	0	Siscomip	01/09/2017	SQL	5	128	256	1		128			G
	85	Cervecería Hatuey	Comercial	Santiago de Cuba	0	Sicema SQL		SQL	5					0			G
	85	Cervecería Hatuey	Servicios Productivos	Santiago de Cuba	0	Sicema SQL		SQL	5					0			G
	85	Cervecería Hatuey	Logística	Santiago de Cuba	0	Sicema SQL		SQL	5					0			G
	83	Lácteos Santiago de Cuba	Pasteurizadora Turquino	Santiago de Cuba	0	Sicema SQL		SQL	5					0			G
	83	Lácteos Santiago de Cuba	Fabrica de Helados Siboney	Santiago de Cuba	0	Sicema SQL		SQL	5					0			G
	83	Lácteos Santiago de Cuba	Fabrica de Helados II Frente	Santiago de Cuba	0	Sicema SQL		SQL	5					0			G
	83	Lácteos Santiago de Cuba	La Maya	Santiago de Cuba	0	Sicema SQL		SQL	5					0			G
	83	Lácteos Santiago de Cuba	Base de transporte	Santiago de Cuba	0	Sicema SQL		SQL	5					0			G
	84	Bebidas Santiago de Cuba	Oficina Central	Santiago de Cuba	0	Sicema SQL	01/05/2017	SQL	5	128		1		-128			G
	84	Bebidas Santiago de Cuba	Comercial	Santiago de Cuba	0	Sicema SQL	01/05/2017	SQL	5				1	0			G
	84	Bebidas Santiago de Cuba	Operaciones y logística	Santiago de Cuba	0	Sicema SQL	01/06/2017	SQL	5					0			G
	84	Bebidas Santiago de Cuba	Ron y Hiejo Manuel Fariñas	Santiago de Cuba	0	Sicema SQL	01/06/2017	SQL	5					0			G
	84	Bebidas Santiago de Cuba	Bebidas y Refrescos Palma Soriano	Santiago de Cuba	0	Sicema SQL	01/06/2017	SQL	5					0			G
	84	Bebidas Santiago de Cuba	Refrescos José Martí	Santiago de Cuba	0	Sicema SQL	01/05/2017	SQL	5					0			G
	84	Bebidas Santiago de Cuba	Refrescos y Hiejo Guantánamo	Guantánamo	0	Sicema SQL	01/07/2017	SQL	5					0			G
	84	Bebidas Santiago de Cuba	Bebidas Guantanamo Baracoa	Guantánamo	0	Sicema SQL	01/07/2017	SQL	5					0			G
	84	Bebidas Santiago de Cuba	Transporte, distribución y ventas Guantanamo	Guantánamo	0	Sicema SQL	01/07/2017	SQL	5					0			G
	85	Cervecería Hatuey	Oficina Central	Santiago de Cuba	0	Sicema SQL		SQL	5	128	256	1		128			G
	85	Cervecería Hatuey	Envasado	Santiago de Cuba	0	Sicema SQL		SQL	5					0			G
	85	Cervecería Hatuey	Elaboración	Santiago de Cuba	0	Sicema SQL		SQL	5					0			G
	89	Cárnica Guantánamo	Patricio Sierra Alta	Guantánamo	0	Sicema	01/07/2017	SQL	5					0			G
	83	Lácteos Santiago de Cuba	Combinado Lacteo Palma	Santiago de Cuba	0	Sicema SQL		SQL	5					0			G
	89	Cárnica Guantánamo	14 de Noviembre	Guantánamo	0	Sicema	01/07/2017	SQL	5					0			G
	90	Lácteos Guantánamo	Oficina Central	Guantánamo	0	Sicema SQL	01/07/2017	SQL	5	128		1		-128			G
	94	PESCAGUAN	Guantánamo	Guantánamo	0	Siscomip	01/10/2017	SQL	5				1	0			G
	95	GEIA	Administración	La Habana	0	Siscomip	01/05/2017	SQL	5	12352		4		-12352			G
	3	Bebidas Pinar del Río	Oficina Central	Pinar del Río	0	Sicema SQL		SQL	5	128	512	1		384			G
	2	Lácteos Pinar del Río	Transporte	Pinar del Río	0	Sicema SQL		SQL	5	128d				#VALUE!			G
